accession,name,ftp_path
GCF_003013715.1,GCF_003013715.1 Candidozyma auris,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/715/GCF_003013715.1_ASM301371v2
GCF_003054445.1,GCF_003054445.1 Pichia kudriavzevii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1
GCF_030384665.1,GCF_030384665.1 Lodderomyces elongisporus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/384/665/GCF_030384665.1_ASM3038466v1
GCF_000026945.1,GCF_000026945.1 Candida dubliniensis CD36,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/945/GCF_000026945.1_ASM2694v1
GCF_000090985.2,GCF_000090985.2 Micromonas commoda,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/985/GCF_000090985.2_ASM9098v2
GCF_029203305.1,GCF_029203305.1 Yamadazyma tenuis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/203/305/GCF_029203305.1_ASM2920330v1
GCF_947243775.1,GCF_947243775.1 Saccharomyces kudriavzevii IFO 1802,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/243/775/GCF_947243775.1_Skud-IFO1802
GCF_947241705.1,GCF_947241705.1 Saccharomyces mikatae IFO 1815,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/241/705/GCF_947241705.1_Smik-IFO1815
GCF_036426115.1,GCF_036426115.1 Kwoniella botswanensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/426/115/GCF_036426115.1_ASM3642611v1
GCF_001640025.1,GCF_001640025.1 Sugiyamaella lignohabitans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/025/GCF_001640025.1_ASM164002v2
GCA_029542845.1,GCA_029542845.1 Malassezia nana,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/845/GCA_029542845.1_ASM2954284v1
GCA_029542905.1,GCA_029542905.1 Malassezia arunalokei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/905/GCA_029542905.1_ASM2954290v1
GCF_029542785.1,GCF_029542785.1 Malassezia japonica,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/542/785/GCF_029542785.1_ASM2954278v1
GCF_029542925.1,GCF_029542925.1 Malassezia vespertilionis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/542/925/GCF_029542925.1_ASM2954292v1
GCA_029449355.1,GCA_029449355.1 Emydomyces testavorans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/449/355/GCA_029449355.1_ASM2944935v1
GCF_000512585.2,GCF_000512585.2 Kwoniella bestiolae CBS 10118,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/585/GCF_000512585.2_ASM51258v3
GCF_027921745.1,GCF_027921745.1 Schizosaccharomyces osmophilus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/921/745/GCF_027921745.1_ASM2792174v1
GCF_001720195.1,GCF_001720195.1 Cryptococcus depauperatus CBS 7841,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/195/GCF_001720195.1_ASM172019v2
GCF_000512565.2,GCF_000512565.2 Kwoniella dejecticola CBS 10117,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/565/GCF_000512565.2_ASM51256v3
GCF_035658355.1,GCF_035658355.1 Kwoniella shivajii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/658/355/GCF_035658355.1_ASM3565835v1
GCF_036810415.1,GCF_036810415.1 Kwoniella dendrophila CBS 6074,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/810/415/GCF_036810415.1_ASM3681041v1
GCF_000512605.2,GCF_000512605.2 Kwoniella pini CBS 10737,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/605/GCF_000512605.2_ASM51260v3
GCF_008629635.2,GCF_008629635.2 Kwoniella shandongensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/629/635/GCF_008629635.2_ASM862963v2
GCF_001548555.1,GCF_001548555.1 Eremothecium sinecaudum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/555/GCF_001548555.1_ASM154855v1
GCF_014133895.1,GCF_014133895.1 Torulaspora globosa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/133/895/GCF_014133895.1_ASM1413389v1
GCA_021950295.1,GCA_021950295.1 Epichloe scottii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/950/295/GCA_021950295.1_ASM2195029v1
GCA_042764415.1,GCA_042764415.1 Remersonia thermophila,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/764/415/GCA_042764415.1_Remth1
GCF_011074865.1,GCF_011074865.1 Brettanomyces nanus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/865/GCF_011074865.1_ASM1107486v2
GCF_030864355.1,GCF_030864355.1 Cutaneotrichosporon cavernicola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/864/355/GCF_030864355.1_ASM3086435v1
GCF_963989305.1,GCF_963989305.1 Lodderomyces beijingensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/989/305/GCF_963989305.1_lodBeiA1
GCA_020342235.1,GCA_020342235.1 Saccharomycopsis phalluae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/342/235/GCA_020342235.1_ASM2034223v1
GCA_029542985.1,GCA_029542985.1 Malassezia brasiliensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/985/GCA_029542985.1_ASM2954298v1
GCA_029542945.1,GCA_029542945.1 Malassezia obtusa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/945/GCA_029542945.1_ASM2954294v1
GCA_029542805.1,GCA_029542805.1 Malassezia cuniculi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/805/GCA_029542805.1_ASM2954280v1
GCA_029542765.1,GCA_029542765.1 Malassezia psittaci,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/765/GCA_029542765.1_ASM2954276v1
GCA_029542965.1,GCA_029542965.1 Malassezia yamatoensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/965/GCA_029542965.1_ASM2954296v1
GCA_029542885.1,GCA_029542885.1 Malassezia caprae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/542/885/GCA_029542885.1_ASM2954288v1
GCF_000146045.2,GCF_000146045.2 Saccharomyces cerevisiae S288C,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64
GCF_034140825.1,GCF_034140825.1 Japanese rice (Oryza sativa Japonica Group),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/140/825/GCF_034140825.1_ASM3414082v1
GCF_000002985.6,GCF_000002985.6 Caenorhabditis elegans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235
GCF_000002765.6,GCF_000002765.6 Plasmodium falciparum 3D7,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.6_GCA_000002765
GCF_030704535.1,GCF_030704535.1 wine grape (Vitis vinifera),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/704/535/GCF_030704535.1_ASM3070453v1
GCF_037993035.1,GCF_037993035.1 crab-eating macaque (Macaca fascicularis),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/993/035/GCF_037993035.1_T2T-MFA8v1.0
GCF_042453785.1,GCF_042453785.1 apple (Malus domestica),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/453/785/GCF_042453785.1_GDT2T_hap1
GCF_013085055.1,GCF_013085055.1 Fusarium oxysporum Fo47,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/085/055/GCF_013085055.1_ASM1308505v1
GCF_022201045.2,GCF_022201045.2 sweet orange (Citrus sinensis),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/201/045/GCF_022201045.2_DVS_A1.0
GCA_034370585.1,GCA_034370585.1 strawberry (Fragaria x ananassa),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/370/585/GCA_034370585.1_ASM3437058v1
GCA_039639715.1,GCA_039639715.1 watermelon (Citrullus lanatus),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/639/715/GCA_039639715.1_ASM3963971v1
GCF_001761485.1,GCF_001761485.1 Yarrowia lipolytica,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/485/GCF_001761485.1_ASM176148v1
GCF_000143535.2,GCF_000143535.2 Botrytis cinerea B05.10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/535/GCF_000143535.2_ASM14353v4
GCF_031755915.1,GCF_031755915.1 common jujube (Ziziphus jujuba),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/755/915/GCF_031755915.1_ASM3175591v1
GCF_016906535.1,GCF_016906535.1 Rhizoctonia solani,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/906/535/GCF_016906535.1_ASM1690653v1
GCF_001417885.1,GCF_001417885.1 Kluyveromyces marxianus DMKU3-1042,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0
